STATEFP,COUNTYFP,TRACTCE,GEOID,CENSUS_TRACT,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID2,GEOid2_1,PovRate,Id2,MedIncome,FID_1,STATEFP_1,COUNTYFP_1,TRACTCE_1,GEOID_1,NAME_1,NAMELSAD_1,MTFCC_1,FUNCSTAT_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,GEOID2_12,GEOid2__13,PovRate_1,Id2_1,MedIncom_1
6,37,185202,6037185202,185202,Census Tract 1852.02,G5020,S,"1,205,736",0,34.0950599,-118.2170631,"6,037,185,202","6,037,185,202",16,"6,037,185,202",62044,55,6,37,185202,6037185202,1852.02,Census Tract 1852.02,G5020,S,"1,205,736",0,34.0950599,-118.2170631,"6,037,185,200","6,037,185,200",16,"6,037,185,200","62,044"
6,37,185310,6037185310,185310,Census Tract 1853.10,G5020,S,"421,083",0,34.0922029,-118.2226256,"6,037,185,310","6,037,185,310",11.8,"6,037,185,310",50724,56,6,37,185310,6037185310,1853.1,Census Tract 1853.10,G5020,S,"421,083",0,34.0922029,-118.2226256,"6,037,185,310","6,037,185,310",11.8,"6,037,185,310","50,724"
6,37,405101,6037405101,405101,Census Tract 4051.01,G5020,S,"1,121,229",0,34.0958307,-117.9616912,"6,037,405,101","6,037,405,101",16.2,"6,037,405,101",68207,57,6,37,405101,6037405101,4051.01,Census Tract 4051.01,G5020,S,"1,121,229",0,34.0958307,-117.9616912,"6,037,405,100","6,037,405,100",16.2,"6,037,405,100","68,207"
6,37,800408,6037800408,800408,Census Tract 8004.08,G5020,S,"16,150,545","5,241,419",34.0246617,-118.8092195,"6,037,800,408","6,037,800,408",9.1,"6,037,800,408",143649,58,6,37,800408,6037800408,8004.08,Census Tract 8004.08,G5020,S,"16,150,545","5,241,419",34.0246617,-118.8092195,"6,037,800,410","6,037,800,410",9.1,"6,037,800,410","143,649"
6,37,185320,6037185320,185320,Census Tract 1853.20,G5020,S,"587,862","2,709",34.0887194,-118.2242419,"6,037,185,320","6,037,185,320",23,"6,037,185,320",39868,59,6,37,185320,6037185320,1853.2,Census Tract 1853.20,G5020,S,"587,862","2,709",34.0887194,-118.2242419,"6,037,185,320","6,037,185,320",23,"6,037,185,320","39,868"
6,37,481603,6037481603,481603,Census Tract 4816.03,G5020,S,"655,706",0,34.0841555,-118.1201868,"6,037,481,603","6,037,481,603",16.3,"6,037,481,603",52894,60,6,37,481603,6037481603,4816.03,Census Tract 4816.03,G5020,S,"655,706",0,34.0841555,-118.1201868,"6,037,481,600","6,037,481,600",16.3,"6,037,481,600","52,894"
6,37,481001,6037481001,481001,Census Tract 4810.01,G5020,S,"1,049,645",0,34.0876622,-118.1302887,"6,037,481,001","6,037,481,001",11.4,"6,037,481,001",45818,61,6,37,481001,6037481001,4810.01,Census Tract 4810.01,G5020,S,"1,049,645",0,34.0876622,-118.1302887,"6,037,481,000","6,037,481,000",11.4,"6,037,481,000","45,818"
6,37,800329,6037800329,800329,Census Tract 8003.29,G5020,S,"22,557,151","21,763",34.1211089,-118.7391728,"6,037,800,329","6,037,800,329",6.5,"6,037,800,329",82180,64,6,37,800329,6037800329,8003.29,Census Tract 8003.29,G5020,S,"22,557,151","21,763",34.1211089,-118.7391728,"6,037,800,330","6,037,800,330",6.5,"6,037,800,330","82,180"
6,37,186401,6037186401,186401,Census Tract 1864.01,G5020,S,"961,479",0,34.1174816,-118.2455078,"6,037,186,401","6,037,186,401",27.2,"6,037,186,401",38375,70,6,37,186401,6037186401,1864.01,Census Tract 1864.01,G5020,S,"961,479",0,34.1174816,-118.2455078,"6,037,186,400","6,037,186,400",27.2,"6,037,186,400","38,375"
6,37,197200,6037197200,197200,Census Tract 1972,G5020,S,"744,116","32,985",34.0907632,-118.2343586,"6,037,197,200","6,037,197,200",10.2,"6,037,197,200",55021,71,6,37,197200,6037197200,1972,Census Tract 1972,G5020,S,"744,116","32,985",34.0907632,-118.2343586,"6,037,197,200","6,037,197,200",10.2,"6,037,197,200","55,021"
6,37,197300,6037197300,197300,Census Tract 1973,G5020,S,"654,246",0,34.0811373,-118.2520467,"6,037,197,300","6,037,197,300",21.6,"6,037,197,300",73097,72,6,37,197300,6037197300,1973,Census Tract 1973,G5020,S,"654,246",0,34.0811373,-118.2520467,"6,037,197,300","6,037,197,300",21.6,"6,037,197,300","73,097"
6,37,197410,6037197410,197410,Census Tract 1974.10,G5020,S,"1,393,309",0,34.0929146,-118.250437,"6,037,197,410","6,037,197,410",10.2,"6,037,197,410",101273,73,6,37,197410,6037197410,1974.1,Census Tract 1974.10,G5020,S,"1,393,309",0,34.0929146,-118.250437,"6,037,197,410","6,037,197,410",10.2,"6,037,197,410","101,273"
6,37,197420,6037197420,197420,Census Tract 1974.20,G5020,S,"615,578",0,34.0832,-118.2571856,"6,037,197,420","6,037,197,420",21.2,"6,037,197,420",52051,74,6,37,197420,6037197420,1974.2,Census Tract 1974.20,G5020,S,"615,578",0,34.0832,-118.2571856,"6,037,197,420","6,037,197,420",21.2,"6,037,197,420","52,051"
6,37,197500,6037197500,197500,Census Tract 1975,G5020,S,"581,662","58,811",34.0717475,-118.2577066,"6,037,197,500","6,037,197,500",11.3,"6,037,197,500",61313,75,6,37,197500,6037197500,1975,Census Tract 1975,G5020,S,"581,662","58,811",34.0717475,-118.2577066,"6,037,197,500","6,037,197,500",11.3,"6,037,197,500","61,313"
6,37,197600,6037197600,197600,Census Tract 1976,G5020,S,"388,300",0,34.0683315,-118.2519864,"6,037,197,600","6,037,197,600",12.3,"6,037,197,600",54750,76,6,37,197600,6037197600,1976,Census Tract 1976,G5020,S,"388,300",0,34.0683315,-118.2519864,"6,037,197,600","6,037,197,600",12.3,"6,037,197,600","54,750"
6,37,197700,6037197700,197700,Census Tract 1977,G5020,S,"701,768",0,34.0685435,-118.2457754,"6,037,197,700","6,037,197,700",30.4,"6,037,197,700",36759,77,6,37,197700,6037197700,1977,Census Tract 1977,G5020,S,"701,768",0,34.0685435,-118.2457754,"6,037,197,700","6,037,197,700",30.4,"6,037,197,700","36,759"
6,37,199000,6037199000,199000,Census Tract 1990,G5020,S,"1,500,952","59,675",34.0800545,-118.2197173,"6,037,199,000","6,037,199,000",28.4,"6,037,199,000",47250,78,6,37,199000,6037199000,1990,Census Tract 1990,G5020,S,"1,500,952","59,675",34.0800545,-118.2197173,"6,037,199,000","6,037,199,000",28.4,"6,037,199,000","47,250"
